State Name,Groceries percent,Gas,Bills,Extras
Alabama,17.1,6.4,1500%,8
Alaska,14.7,1,15,8
Arizona,15,2.57,15,8
Arkansas,17,5.12,15,8
California,12,2.57,15,8
Colorado,13,2.57,15,8
Connecticut,11,2.57,15,8
Delaware,13,4.81,15,8
Florida,14,5.01,15,8
Georgia,15,2.57,15,8
Hawaii,18,2.57,15,8
Idaho,14,2.57,15,8
Illinois,13,2.57,15,8
Indiana,14,4.67,15,8
Iowa,13,2.57,15,8
Kansas,14,2.57,15,8
Kentucky,16,2.57,15,8
Louisiana,20,2.57,15,8
Maine,13,2.57,15,8
Maryland,12,2.57,15,8
Massachusetts,11,2.57,15,8
Michigan,14,2.57,15,8
Minnesota,13,2.57,15,8
Mississippi,17,5.66,15,8
Missouri,14,2.57,15,8
Montana,14,2.57,15,8
Nebraska,13,2.57,15,8
Nevada,14,2.57,15,8
New Hampshire,12,2.57,15,8
New Jersey,11,2.57,15,8
New Mexico,18,5.05,15,8
New York,12.8,2.57,15,8
North Carolina,14,5.14,15,8
North Dakota,13,2.57,15,8
Ohio,14,2.57,15,8
Oklahoma,17,2.57,15,8
Oregon,14,2.57,15,8
Pennsylvania,13,2.57,15,8
Rhode Island,12,2.57,15,8
South Carolina,14,4.82,15,8
South Dakota,13,2.57,15,8
Tennessee,14,2.57,15,8
Texas,14,2.57,15,8
Utah,13,2.57,15,8
Vermont,12,2.57,15,8
Virginia,13,2.57,15,8
Washington,14,2.57,15,8
West Virginia,14,2.57,15,8
Wisconsin,13,2.57,15,8
Wyoming,14,5.48,15,8
,,,,
,,,,
